Periodos,S11,S21,S22,S23,S31-S33,S43,S46,S48-S49-S51,S52-S53,S54-S55-S56,S61-S62,S71-S81,S72,S93
2002/10,86.1118771,110.741164,58.67889275,77.25166967,87.8031368,67.00818881,81.29010466,70.43363221,65.51312173,80.6777722,86.71029676,80.94385708,94.54233954,86.14103325
2002/11,82.68968871,104.8586254,58.1201076,77.27248427,88.28462058,66.8456949,80.43924276,70.06262727,65.55297925,80.72853259,87.01052767,80.55611351,93.61033274,85.82788886
2002/12,82.05784273,107.9454683,59.99659576,77.8106432,86.52271636,67.71108585,82.10578203,69.99843035,65.22806265,80.49378155,86.57840895,78.82627253,94.39416874,85.73488987
2003/01,83.98297945,109.013952,58.96163631,78.37271433,85.0588794,68.48626931,82.88370517,69.550297,66.0962724,81.23502496,86.05913103,80.83740108,93.87154332,86.47671324
2003/02,83.49175904,110.385815,59.45099554,81.90765189,86.80623468,68.17436914,82.70420195,69.74352599,66.33686291,80.61724933,86.43628431,80.32000777,93.93916439,86.59467055
2003/03,85.6706877,110.4571933,59.87137254,77.19543082,85.93537447,67.27187376,81.77312444,69.64063045,66.37469933,81.83538209,86.02397621,80.5859296,93.1155974,84.87641765
2003/04,85.21248581,109.2049531,59.76684255,77.78347212,86.7004094,67.26310754,81.85042538,69.83288764,66.27722049,81.32644059,86.41781099,81.87797555,93.33875503,85.92329559
2003/05,83.27534376,109.9713093,60.21685795,77.0767389,86.25773698,65.88214482,80.13619424,69.68281145,66.42679735,80.60754809,86.28858069,80.51846351,93.38585901,87.96864224
2003/06,88.52868217,110.9888043,60.1574849,77.93938383,86.93205916,67.14681148,81.53964149,70.05069052,66.88794227,79.41452359,86.39694716,80.16744198,92.72223548,85.94252998
2003/07,89.34873438,111.6498656,60.58091366,77.6486055,86.66191528,67.25183091,81.9775206,70.32233821,67.25051665,78.93863033,86.86486282,81.35273217,91.84108458,85.83723542
2003/08,85.97525631,111.4612104,60.26874908,76.92040821,86.29088484,66.53802382,80.40198318,70.17164902,67.28670526,78.82115252,86.83963364,79.52530962,91.74084105,85.09040751
2003/09,88.46482206,112.1283684,60.24961598,76.48840909,86.61598513,66.66720074,81.4201489,70.43381966,67.75301347,79.52739251,86.35633137,80.24200686,92.27998237,83.90787538
2003/10,79.39633403,114.1917091,60.47475024,78.63047711,86.61045375,67.49517785,81.75224332,70.91779114,68.2907042,79.13912181,86.73923764,79.60681957,92.52377976,83.23440691
2003/11,88.69739612,113.5952571,61.70011399,75.28293117,87.07346705,68.01081967,81.77820968,71.23540119,68.77378915,79.06714736,86.68158622,79.59578024,94.98280136,83.5612602
2003/12,88.38558194,113.2627551,61.41893842,79.16508625,87.75672446,68.37516392,82.77351042,72.26525837,68.97586269,78.55584836,87.15396114,80.75021521,93.64199251,84.10905953
2004/01,93.36935455,112.8948262,65.25995877,85.67641706,86.76803522,67.8841304,81.00585931,72.73267443,69.35320825,81.80926147,86.81893509,80.42960931,94.867751,84.73302747
2004/02,90.82204929,112.7748838,65.58636901,82.44107476,87.29109282,69.068526,82.32163392,72.61633056,69.7312987,84.06129118,86.59672068,80.92556509,95.25653934,84.27982228
2004/03,89.09300756,112.2312339,67.31340962,83.67380389,89.57369625,71.24948272,85.94673517,73.77508404,70.15296689,83.19660505,87.36977372,82.90148651,93.71811204,85.40195195
2004/04,87.48584623,114.2211531,66.67978968,84.01754146,89.12806274,69.7046816,82.95532714,73.07886129,70.65426121,84.79798636,87.1183312,81.57221822,95.75709243,85.82030535
2004/05,86.28892466,112.8986122,66.10556687,82.98003563,89.19588625,71.46221452,84.69003127,73.11740366,71.05545306,85.12722833,88.20776484,79.81358585,95.54249469,85.57162409
2004/06,85.96451518,113.7008828,66.45033863,83.48459154,89.09417082,71.17335937,85.34884391,73.57877505,71.93456425,83.42444056,87.10351132,82.33292297,96.00413568,85.68219123
2004/07,85.62352164,111.3188815,66.79255154,82.86152136,89.63699512,71.09508523,84.57842695,74.33213609,71.19631288,81.30332507,87.15989014,82.66276171,96.22814159,84.85209986
2004/08,83.72069581,110.8370631,67.56980207,80.58577879,90.22475717,72.5069527,86.01836112,74.5117208,71.47196855,80.38100651,87.59712507,82.37224543,96.53895578,85.44540494
2004/09,86.08442892,114.3762711,67.88396163,82.57364916,89.84875649,70.69503427,84.40391445,74.51648994,71.39218629,82.37374798,87.28790291,83.0450323,97.31773833,85.24471491
2004/10,84.44761509,116.4898552,68.28578584,83.12059278,90.05728684,72.4531079,85.2584354,74.71760675,71.28233095,81.47457305,87.61773968,83.06357831,98.7222733,84.94782128
2004/11,92.44492672,114.3547288,68.49101478,83.60315779,89.92147044,74.2694209,88.67610817,75.5483717,71.39495169,81.73890661,87.90916649,83.96084716,98.27506001,85.16185941
2004/12,90.44228093,108.578255,68.94611226,83.63723754,90.93573182,73.23105609,86.64260052,75.82398263,71.41575448,82.6587089,87.67973277,84.86210265,98.40241692,84.4097944
2005/01,85.87307653,113.2463504,70.99207882,88.09490958,89.98281578,73.26307693,86.27263928,75.6226181,71.53620742,79.32961355,89.52387943,83.43797977,97.84182975,84.08193554
2005/02,87.33858142,113.4197683,71.59064855,84.87406576,90.86919738,73.44745455,87.07399393,76.54469436,71.69291202,83.35621574,88.62143545,83.74830112,97.70894209,85.02359787
2005/03,85.09416535,111.3908971,71.50906715,85.33716951,90.52500783,73.34778286,86.92497701,76.00044657,71.41300172,85.00358855,88.7928418,84.12642178,97.71694168,83.83846114
2005/04,86.50948168,114.2428402,71.82405133,84.99634763,90.88287572,74.20763333,88.06147266,76.44035753,71.63121441,83.90060419,88.87838838,83.7363306,97.18673582,83.93970238
2005/05,84.58348611,116.0581231,72.28749881,85.80608169,91.77468106,74.33666208,87.43008709,76.5119671,71.71199827,86.84181282,88.94403713,83.79943735,97.99775808,84.24954092
2005/06,74.72422207,115.7000893,73.35466076,85.63868609,89.07897801,72.93173645,86.49847058,75.76412333,71.56059186,87.6556719,88.99725097,83.94872638,98.43700116,84.2771569
